title,author,litres mark,litres votes,livelib mark,livelib votes,avg_word_len,avg_sent_len,avg_words_per_par,comma_freq,colon_freq,dash_freq,A1 voc,A2 voc,B1 voc,B2 voc,C1 voc,C2 voc,unknown voc,TTR,TTR-root,TTR-log,TTR-corrected,TTR-hdd,TTR-mtld,FKD-oborneva,FRE-oborneva,FKD-soloviev,FRE-soloviev
ГоТМ. Книга 2, Вячеслав Васильев & Денис Росс,4.4, 8,None,None,5.4907705673995855,11.464668094218416,40.2323717948718,90.69604944907285,1.0319806503628055,0.0,0.57,0.12,0.12,0.08,0.03,0.01,0.06,0.2625638982938326,72.05692949856063,0.8809146807051166,50.9519434799132,0.9406661859750234,444.6925970429162,9.354724732518664,54.51589341569314,5.331830327628532,89.2287655208903
КвазаРазмерность. Книга 1, Виталий Вавикин,4.5,58,4.5,4764,5.676484050922615,11.680787191460974,34.34634146341463,92.08923576648922,0.8458901019579537,0.0,0.52,0.16,0.09,0.09,0.04,0.02,0.07,0.2170288311319415,57.58834577001842,0.8631327114487287,40.721109811295655,0.9424879553156804,345.0308087426901,10.18889963364277,49.0470991289242,5.907596146959902,85.27745773803588
Проклятие Первого Десмода, Андрей Вичурин,5.0,2,None,None,5.304026813805315,8.26220544199974,25.17812006319115,97.745863106431,2.6913313275667545,44.98871756299361,0.6,0.12,0.1,0.07,0.02,0.03,0.06,0.2842622076516446,71.7732521700327,0.8862977722129471,50.75135331724222,0.9305762758799512,371.9673802803819,7.4337544862097396,60.95830555048661,3.9596306570917648,99.0482722513865
Бездна. Хроники другого мира, Александр Нагорный,3.5,88,4.0,2,5.632457027300303,9.917337936325278,41.0173775671406,67.92680410734974,0.0793537431160627,26.56763319525782,0.6,0.12,0.14,0.08,0.02,0.01,0.03,0.2824487752272377,64.36362471348157,0.883560224310269,45.51195549664888,0.9345847101048907,451.0295474508709,9.578976573600896,49.35150823570595,5.458805946118511,88.59910027976184
Эволюция 2. Стая, Иван Владимирович Магазинников,4.3,1118,4.3,2085,5.483804475853946,11.799091940976163,18.395869191049915,81.24770642201835,10.20183486238532,0.0,0.59,0.1,0.12,0.07,0.03,0.02,0.07,0.3648952095808383,37.72388258603917,0.8913271055566472,26.674813189273408,0.9305890733866892,349.23821624180107,9.901367210085931,51.46548417593226,5.713149660722946,86.57698631593637
Одиночка. Охотник за головами, Константин Георгиевич Калбазов,4.5,150,3.7,30,5.210897924652455,9.339653831194088,32.33971774193548,84.91300960789405,1.139209756996507,0.0,0.61,0.12,0.1,0.06,0.02,0.02,0.07,0.206227985411926,63.97822328305084,0.8624118784292135,45.23943553171231,0.9249530296621008,303.5410871818791,7.54729423898813,62.5647112044343,4.055693534063911,98.23519934849016
Чужая планета, Евгений Гуляковский,4.7,25,4.0,45,5.457840132159235,12.496286827367909,29.244668751777084,86.79745514470943,1.071772494127412,16.278048407047912,0.61,0.14,0.12,0.05,0.03,0.02,0.04,0.1557749614743299,70.65163031015936,0.8480209873921254,49.95824689419872,0.9367630631495216,353.76416168916523,9.946619794349417,52.60864258438357,5.755222236414364,86.19403953298415
Иванов. Терра. Мир войны 2. Рыцарь, Неизвестный,4.7,966,4.6,1939,5.2683414815173375,9.53253713060787,39.92140575079872,59.47170788553671,2.188268807458241,0.0,0.63,0.12,0.12,0.06,0.02,0.01,0.05,0.2301006770491541,57.51458365717898,0.8669475946958296,40.66895212111224,0.9346497997056348,232.2174809863973,8.004393350216471,59.742154717930845,4.372504307278865,96.04962643251646
Афоризмы и мысли об истории, Василий Осипович Ключевский,4.5,8,4.0,1,5.790194949694559,18.000308689612595,49.74,93.0847239436041,5.231479262388814,8.073185929785879,0.58,0.12,0.11,0.07,0.01,0.03,0.08,0.2611024134007477,89.26839114149432,0.8849220278998274,63.12228472176376,0.9359746665308816,395.2625680050364,13.98873422999652,36.16646720336249,8.620886730960526,65.86972289837087
Уровни реальности, Антон Емельянов & Сергей Савинов,4.6,74,3.8,17,5.110069691882164,12.334519572953736,30.83783783783784,97.16603035310654,2.792181890706023,0.0,0.63,0.12,0.11,0.04,0.03,0.02,0.06,0.205827620568355,59.402935340131805,0.8604854773811638,42.0042184013932,0.9245035271308664,314.9440131746322,8.668636361015881,61.314273457708936,4.875593445559998,92.20925345738418
Чужими тропами, Андрей Петров,3.4,29,1.8,4,5.561144634648134,13.180629289136348,42.6250521920668,96.09342438523932,0.0641210605623417,25.12744060786765,0.57,0.12,0.13,0.06,0.03,0.01,0.07,0.2143465867348438,68.48599864886144,0.8664628917991941,48.42691406094266,0.9331280180462428,479.647616358597,10.561976051741269,49.74979555766464,6.188802286478785,83.14159852077759
Конец Распутина. Мемуары, Феликс Юсупов,4.1,85,4.5,6,5.245367378430778,11.316319677635995,39.22196442382057,85.88739756462753,3.660035312364157,0.0160998620778482,0.6,0.1,0.1,0.07,0.02,0.02,0.08,0.2096199603002458,81.76307096663774,0.8690592926438258,57.81522193114647,0.9236780022252932,376.5278135422621,8.677237235482732,59.02534796801595,4.864724647935388,92.429928889457
Ездовой гном. Сила, Михаил Владимирович Уткин,4.6,97,4.4,13,5.373712812550353,12.086212976022567,26.936545240893068,74.89111910622988,10.5448778640409,0.0,0.54,0.13,0.12,0.09,0.03,0.01,0.07,0.2722011371402812,71.38160187421494,0.8831787909701801,50.47441473721575,0.9367113226622562,438.0792305027449,9.345197454713263,55.94421805196731,5.335535859318691,89.1139602499888
Горизонты развития. Нуб, Александр Демьянов,3.9,7,None,None,5.550850215604914,21.87227138643068,45.493872549019606,111.68720876959696,0.8157244862611883,14.77243521694919,0.57,0.13,0.12,0.07,0.03,0.02,0.05,0.2564582603776634,69.88005248889763,0.8786649605536208,49.4126589845714,0.9303149345070052,410.0433272775152,14.890099144138656,38.34261001609693,9.303891193601231,60.65339851992378
Океанский патруль. Том 2, Валентин Саввич Пикуль,4.9,72,None,None,5.366562208859151,12.10346750952868,19.520437191196287,103.48313682156416,8.252318760506425,47.11580283776318,0.58,0.11,0.1,0.08,0.04,0.02,0.07,0.2216878743950236,80.04651543720918,0.8720953364637467,56.60143387600427,0.9438041139240896,415.3367499348046,9.28274782596,56.42750134154426,5.292987790635882,89.40112132364622
Алхимик, Алекс Каменев,4.2,58,None,None,5.573448854108441,9.27052142488384,23.07396733909702,86.74542444175952,1.543831386763324,0.0,0.57,0.13,0.11,0.1,0.02,0.03,0.05,0.2785456563974465,74.77277857087796,0.8857269354508668,52.87233877562797,0.939609527337477,706.9670870808304,8.579833214854425,55.03176586452585,4.762625959657713,93.4337065833398
Я – другой 4, Денис Деев,4.7,28,4.5,2,5.544829076163728,10.774268379728763,33.31850631521142,70.7105719237435,0.1866417810958539,0.0,0.54,0.11,0.13,0.08,0.02,0.02,0.09,0.306792148072454,75.56870413220447,0.8927124721218782,53.43514313736166,0.9409158987546083,468.274688975051,9.230040374128324,53.82242793317175,5.234397325433575,89.99628384913655
Рандом. Дилогия, Silvan,4.6,338,4.0,302,4.978374738102365,6.862392813393222,17.517564402810304,71.22756481276313,0.9306448038998448,0.0,0.64,0.12,0.09,0.06,0.02,0.02,0.06,0.2205585264408794,57.22633135711372,0.8640313681946831,40.46512696504348,0.9388182536094224,294.6602569659129,5.639808367000946,70.55948873896453,2.705151863812871,107.79871009824984
Reality. Начало пути, Андрей Александрович Павлов,4.5,4,None,None,4.97729833722688,9.575503794818111,24.37871777924653,65.19855114330792,1.0444212350836648,0.0,0.62,0.12,0.09,0.05,0.02,0.02,0.08,0.2511590077267182,48.236262786210105,0.8686071867275413,34.10818851522547,0.925887475521912,235.99736352320883,6.9622769938313525,67.34844405624452,3.659040818234457,100.89524923489653
Рарог. Мир Теллуры, Даниил Конюченко,2.0,1,None,None,5.177326880842711,14.65950226244344,47.9713758079409,91.89197696012089,5.728494539045041,0.0,0.6,0.12,0.14,0.05,0.02,0.02,0.04,0.2328835678401632,53.08161910961397,0.8657944424243076,37.53437282876946,0.9258936267982636,308.31102092323704,10.325198279283187,54.69035984198487,6.050878048747746,83.86642002851195
Проект Данте. Врата Ада, Сергей Извольский,4.5,1550,4.3,243,5.343148892718106,11.827960228984631,25.174010217113665,104.09315106406112,2.214116972590418,0.0,0.6,0.13,0.09,0.07,0.03,0.01,0.05,0.2255691546705561,63.33835659231964,0.8679293209804553,44.78698145564088,0.9359217176656018,328.9932971513393,9.093078862499691,57.2025226383937,5.158547987797922,90.3543933648082
Выбор великого демона, Георгий Смородинский,4.7,589,4.4,114,5.127456075228904,11.389856701320596,30.97904761904762,88.27770203332973,4.443311002344263,0.0,0.62,0.12,0.1,0.05,0.03,0.02,0.07,0.2094933595671421,59.74051283330127,0.8617510280306736,42.2429217359893,0.9280453365831334,334.30752942110763,8.333612373974557,61.61241894424265,4.630063575272503,94.01846307294171
Скрижаль Невозможности. Дилогия, Михаил Мэйдж,4.0,185,3.7,6,5.322501897293195,12.244026514567595,39.26949654491609,88.74551532941943,1.3759784735812133,10.803979125896934,0.59,0.11,0.11,0.07,0.02,0.02,0.07,0.250867269984917,70.76058112840057,0.8774549275303946,50.03528675659288,0.93366260865572,377.2965782048595,9.341908025259258,56.29829001416502,5.3357683483224125,89.09060717765134
Осознание, Дмитрий Султанов,4.0,86,3.0,4,5.212620657041921,10.735863095238097,46.40897435897436,89.65765846954524,1.250408354079598,0.0,0.59,0.15,0.1,0.06,0.02,0.02,0.05,0.1916213155059532,51.559310604526985,0.8523463877051443,36.4579381617645,0.9252367427895328,288.75736988831443,8.332289511087861,60.139299819584494,4.617996402346639,94.1982374744683
Ник. Чародей. Том 2, Анджей Ясинский,4.6,247,4.4,208,5.40289880622576,11.889983579638752,47.00705882352941,87.82416773956226,3.923732450493532,0.0,0.62,0.12,0.12,0.06,0.02,0.02,0.04,0.2256356992691961,63.78430287714113,0.8681127148701983,45.10231309768312,0.9332721968160724,347.8998774408983,9.59466500306164,53.73060404840177,5.503372056784412,87.99998024616777
"Играть, чтобы жить. Книги 1",Дмитрий Рус,4.6,887,None,None,5.700192605159423,11.338869905636894,25.061213272036778,79.39533546346522,7.096311468789476,13.787165578447114,0.5,0.12,0.12,0.11,0.03,0.04,0.1,0.1624066596879517,115.0138462892332,0.8615165530627661,81.32707064146402,0.9469202612179451,877.9997261991068,10.174517022660176,48.330388506150086,5.891564180945204,85.44054821014673
Три данжа, Серж Винтеркей,4.8,1624,4.1,47,5.252939333820612,13.468180543874404,50.71802935010482,101.5225841495086,2.529153158046611,0.0,0.59,0.11,0.1,0.07,0.02,0.03,0.07,0.2456133099100961,54.026554350352406,0.8698429560768508,38.20254294527776,0.9309244292969736,283.175019862211,9.662271209812086,56.88057630535144,5.577082909795712,87.25900421760583
МагоИскин. Том 3, Евгений Хван,4.4,83,3.8,11,5.341678712266865,14.673041332510795,52.68502202643172,78.92733975502438,0.0594601022713759,11.987156617909385,0.59,0.13,0.1,0.08,0.03,0.02,0.07,0.2257898184149281,60.48344102280115,0.8669040958950535,42.76825129671931,0.9343539447883455,329.819916629475,10.728544805936233,51.99880463142449,6.328921054956135,81.9613857585219
Сотворенный. Том 1., Тай Мураз,5.0,7,3.5,2,5.042544895759272,14.630155284688596,63.27705627705628,133.73466365815824,0.7932590607812721,0.0,0.67,0.12,0.09,0.06,0.02,0.02,0.02,0.1969738432418873,58.33286502481773,0.8572546863042079,41.2475644250882,0.916737401127903,243.80622947907892,9.731990968531123,58.9008031174032,5.64385278994691,86.63868018979032
Ник. Землянин. Том 2, Анджей Ясинский,3.9,1032,None,None,5.365405236350639,10.232075686766214,32.607026439695765,90.54823780704878,3.453186187255251,0.0,0.59,0.14,0.12,0.05,0.01,0.02,0.07,0.2112009597014262,63.37014318875189,0.8636954695616774,44.80945797352897,0.9309438117827328,314.0916085107878,8.658641425232876,56.658934169366745,4.833158672482151,92.809380312786
Колонизация. Творцы истории., Торк Вемада,4.4,73,None,None,5.269301810121906,15.426595744680853,35.17319337908761,111.15850614874984,1.8151291010573127,0.0,0.57,0.14,0.12,0.07,0.03,0.02,0.05,0.2344704099903585,69.20810310421061,0.8724910150571521,48.937519018045066,0.9176324937979898,284.4822049386149,10.84487605416138,52.75532795221562,6.420651000491075,81.23246298399596
Скрижаль невозможности. Рождение ассасина, Михаил Мэйдж,4.0,185,3.7,6,5.3306763543113584,13.944362237348328,53.74431818181818,92.14659685863874,1.0820244328097732,17.87085514834206,0.6,0.12,0.11,0.08,0.01,0.02,0.07,0.2965641188286288,64.49502562748812,0.8870797305794262,45.60486997399701,0.9310786789558412,393.3481170245876,10.259778131979823,53.57435114588935,5.994094489088271,84.35719896161693
Император по случаю. Книга первая, Юрий Николаевич Москаленко,3.9,269,3.5,2,5.153508705811412,9.2475288876514,30.28655901751194,98.7263591112266,0.41923274502973,28.54325478131993,0.62,0.13,0.1,0.06,0.02,0.02,0.05,0.1871442517083427,68.29355050863381,0.857969206326442,48.29083267596096,0.91868514370724,281.7779190904876,7.508365860127775,62.65321707484898,4.027569443171247,98.43911493365832
Париж интимный (сборник), Александр Иванович Куприн,4.4,13,4.2,16,5.300605174605056,13.812136627906977,39.29765282434872,103.62087607795564,6.666842480023208,0.0052744006962208,0.64,0.11,0.08,0.06,0.02,0.02,0.07,0.2475304711959411,96.61840746054826,0.8830045478387069,68.31953110279859,0.9320933058827304,416.1270931707749,10.2033311864014,53.75294420425021,5.9536922943345,84.64699587320503
Трибут, Роман Прокофьев,4.9,738,4.6,69,5.71874712114233,8.177453921988855,25.56316844919786,91.38832997987927,5.633802816901408,23.17907444668008,0.52,0.13,0.11,0.09,0.03,0.03,0.09,0.2559586847094201,70.78773319266777,0.8788121455764722,50.05448616535944,0.951350154597594,564.7991444388092,8.775757058572179,51.12928888769403,4.878149945870733,92.81220986011051
Преторианец. Жестокие звезды Книга 2, Д,4.1,46,4.0,6,5.27634525844286,16.916583912611717,54.389817024661895,87.30983302411875,1.434755720470006,0.0742115027829313,0.62,0.12,0.1,0.07,0.01,0.02,0.06,0.2162561432249005,56.54508889001904,0.8624505101314159,39.983415796928576,0.9312878940760548,275.6819016958522,11.521467214396122,51.32234122197565,6.910251713812903,77.67599884928713
Проект Работяга, Алексей Осадчук,4.7,617,4.2,217,5.281155627139119,7.515295131408876,18.776943699731905,75.7919786913521,5.359910922865314,39.27690325961181,0.62,0.12,0.09,0.06,0.02,0.02,0.07,0.2266198349467432,59.97424464113499,0.8669437202396841,42.40819508228751,0.9416040039002878,364.3145161313198,6.7738478707431575,63.97050214676483,3.494256768656994,102.32798193423898
Тень хранителя, Алексей Байкалов,4.0,34,2.5,2,5.93627455866668,10.259160967643156,30.850979192166463,69.63673082070123,2.814342603631881,0.0,0.5,0.15,0.13,0.08,0.03,0.03,0.07,0.2818857182531417,89.50526304499802,0.8900926707783411,63.28977845100379,0.9497086285683796,703.2501386723584,10.384429338714767,44.38293996357643,6.0170951196493245,84.74731861552135
Хроники Мидгарда. Нуб детектед, Альтс Геймер,3.8,20,3.7,6,5.368993066385164,9.060156080641663,33.46448523543496,77.52063440686196,2.4656569214512154,32.843692583037424,0.57,0.1,0.1,0.07,0.03,0.04,0.09,0.2895232644105793,83.84285813287178,0.8906652985019909,59.28585353981532,0.9404895974498754,550.2865741186938,7.88916466734517,59.503204442231976,4.285485789507627,96.71187572284126
Демонический рубеж, Серж Винтеркей,4.9,1239,4.2,18,5.339144589691337,14.238481906443072,42.35146443514645,102.97770523050094,1.449819026086604,0.0,0.59,0.13,0.12,0.06,0.02,0.02,0.06,0.2144586050187709,61.026945972709285,0.8637718047163172,43.1525673324078,0.9325676380419552,309.0042013111659,10.261982723699624,54.308776453650665,6.001253287204806,84.25906743012293
Притяжение, Евгений Катрич,4.0,20,None,None,5.641501837032563,9.641942498187968,28.80314960629921,81.85193187844979,1.6500029464338328,0.0,0.56,0.12,0.12,0.09,0.02,0.01,0.07,0.2692479745514191,54.00955986017729,0.8762448308094304,38.19052602603213,0.9404609279665452,424.6188418246534,8.905356449753924,53.61003958085604,4.992671654509239,91.80835740615755
Землянин, Роман Валерьевич Злотников,4.5,1017,4.3,202,5.231768748331999,13.2375124048958,48.70711974110032,95.20324439013254,3.6794821867404353,26.253239690064056,0.61,0.12,0.11,0.06,0.02,0.01,0.08,0.1838643234444038,63.79959555053787,0.855234301290909,45.11312665074442,0.9291010551139216,268.2355880579703,9.480626007635152,57.62961097687296,5.448381638091574,88.17115278660859
Легенда нубятника, Серж Винтеркей,4.7,1968,4.1,60,5.3142505115399,14.105003088326129,49.040554962646745,89.02061112712597,2.648457768809456,0.0,0.59,0.12,0.13,0.07,0.02,0.02,0.05,0.2473722008226154,53.02716102857732,0.8698818690438458,37.495865150378044,0.9274323834534712,265.0514313627742,10.25823914039589,54.01730167950947,5.996290580249367,84.31380359405183
Имперские кобры, Артур Иванович Прядильщик,4.3,80,3.2,9,5.468146251244843,9.65518660812294,28.54435483870968,74.94362203317927,3.3491861477660927,0.0,0.6,0.13,0.1,0.07,0.02,0.02,0.08,0.2713942647266563,72.2082170803886,0.8832159557621123,51.05891995493305,0.936376761845608,355.2372128391245,8.784775981566394,54.499461668156215,4.910188869180127,92.36794014659635
Удар. Мир Теллы, Иван Мартынович Борн,4.6,295,4.2,122,5.155627788557798,8.493484260909058,26.749477620147367,82.71969211032713,1.2283515073765234,0.0096215522771007,0.61,0.11,0.1,0.06,0.02,0.02,0.08,0.1345335542463399,66.35014314681605,0.8382536677850861,46.916636151811765,0.9374751128958112,223.32696246009465,6.911997132875083,65.17782034751215,3.605516025402949,101.42617795764905
Искажающие реальность. Фракция H13. Дилогия, Владимир Лушник,4.8,577,4.5,118,5.475024020930044,9.41643537414966,30.44561588473028,53.61200109520081,1.2969483286178851,0.0048035123282143,0.61,0.13,0.1,0.07,0.02,0.02,0.05,0.1739752750106772,72.41761311947428,0.8550192733097314,51.20698531412416,0.936708703000657,329.20769277792385,8.511840447834661,55.84315401584991,4.718448135611455,93.7129605774964
Наемник. Трилогия, Владимир Геннадьевич Поселягин,3.9,1032,None,None,5.324401009934298,11.155652990917632,31.739096573208723,87.23318133054804,1.2426298463271654,12.04133796418169,0.61,0.11,0.09,0.07,0.03,0.02,0.07,0.1301744656835079,69.52718017550451,0.8376842566916018,49.163140578878135,0.9310877678869904,312.1915172052317,8.817116430915291,57.62139423725003,4.957607111069185,91.82436574663772
Зов Хайгарда_ акт 1, Начало,2.4,5,None,None,5.603981857593035,16.306552030833085,35.129359543436905,90.3336998187383,5.110985647639141,0.0,0.57,0.13,0.11,0.07,0.03,0.03,0.06,0.2687232621527464,63.24937314841892,0.8796891524421516,44.72406065904535,0.9403795829147876,476.4397967821758,12.528779983000051,42.83562239528922,7.591348082823123,73.125043054085
Одиночка. Трилогия, Константин Калбазов,4.7,364,4.3,216,5.214984430997004,9.433407171535372,32.01173295787868,80.95338875690435,0.1251948717795855,22.55892356256912,0.61,0.15,0.09,0.05,0.02,0.02,0.06,0.141084754211321,73.69379515167056,0.8435365528783868,52.10938228311857,0.9244351141959404,289.17609130636606,7.665707417190518,61.9370790838484,4.138544063067725,97.65689241097846
Сокровище троллей, Ольга Голотвина,5.0,29,4.7,119,5.08754877616176,9.766396681153694,19.848879103282627,83.83861480599558,7.482633824028007,39.72340274547218,0.57,0.12,0.1,0.1,0.03,0.03,0.06,0.2186255231180356,68.84621515522122,0.8678439208429947,48.68162559528498,0.9345149683141736,360.1432406345889,7.228029624354686,65.84049105009083,3.84423281947638,99.60900055427328
Лицензия на геноцид. Дилогия (СИ), Евгений Борисович Коваленко,3.8,360,3.4,25,4.974974824271744,7.995804943219773,28.325354777672658,38.04720250133862,0.0887786553917774,0.0,0.66,0.1,0.1,0.06,0.02,0.02,0.06,0.1491120544824799,81.59018666675443,0.8490778920144005,57.6929742703383,0.9149699379097082,232.2555471092064,6.144141884645496,69.54164531306205,3.0704807270802625,105.14181777551332
Донские рассказы (сборник), Михаил Александрович Шолохов,4.9,9,4.5,9,5.149552468949898,12.200117586536342,24.320432306119468,110.76151476444512,9.100984296340824,0.0,0.53,0.11,0.11,0.1,0.04,0.03,0.09,0.219670674145158,89.64124753833963,0.8739382370940928,63.38593400838186,0.9366612030057182,372.096186554686,8.656611178103386,61.18587528878862,4.865733454751291,92.29047999471126
Солнце мертвых (сборник), Иван Сергеевич Шмелев,4.5,6,None,None,4.847507115064266,9.68428562934776,28.66379764623221,91.15812119039082,9.374925301780806,0.0478068602844508,0.62,0.08,0.09,0.09,0.02,0.02,0.08,0.2077789965866542,83.93422816865059,0.8690886412918964,59.35046191171177,0.9171245368930204,195.48338900283525,6.637169871480701,69.87448353101507,3.4376155237937827,102.38899996986976
Скрижаль невозможности. Игра продолжается, Михаил Мэйдж,4.0,185,3.7,6,5.328235919567189,10.354662379421224,29.82277318640955,84.07770781471177,2.074486259579245,36.31571240298726,0.61,0.11,0.1,0.06,0.03,0.02,0.07,0.3169627736552021,57.12105384187735,0.889397462911247,40.39068452011337,0.9364427366632871,366.5062691283322,8.344578272694534,59.218983241617735,4.620157187081817,94.23835783711664
FERA. Апокалипсис_ Охотник, Константин Александрович Зайцев & Алексей Тихий,4.2,9,None,None,5.146791857138159,9.231779085559076,27.920765027322403,81.09245908540757,1.881281902857444,23.417355154449297,0.63,0.11,0.11,0.06,0.01,0.02,0.06,0.2627784845222951,65.06832518686198,0.8787670047343893,46.010253980081536,0.9354233318079382,403.51900556309954,7.243664813695755,64.47283665384666,3.84550121601262,99.68308107753371
Возвращение. Майнкрафт. Книга 1 (СИ), Дмитрий Басов,4.7,943,4.5,766,5.120838647389061,9.911965209214856,30.08805704099822,86.48321741759904,6.992742667069852,0.0,0.62,0.1,0.09,0.07,0.02,0.02,0.07,0.2205528632534331,64.07316908503438,0.8667389926568697,45.30657235214007,0.9322116632690506,335.78093516991294,7.428127581232324,64.68378425737302,3.98351249097421,98.64301562779512
Магам можно все, Марина Дяченко & Сергей Дяченко,4.7,103,4.5,66,5.2458852958236655,11.192480837084805,20.535037526937653,93.37452700500276,4.240302716798231,43.10313062456598,0.61,0.1,0.1,0.09,0.02,0.02,0.06,0.161898386046175,85.1068263614607,0.8546787366489449,60.1796140454549,0.9395733509351224,333.67857979537314,8.523064328095181,59.814519610960645,4.756643227280131,93.18615798865792
Защита Периметра, Михаил Александрович Атаманов,4.8,493,4.4,209,5.60412019929647,13.636411729141477,36.35036202735318,67.85499884553221,4.428538443777419,24.74255368275225,0.56,0.12,0.13,0.09,0.01,0.02,0.07,0.1638651277568139,69.66368942028407,0.8505787515541436,49.25966719155642,0.9422854605426884,420.7780340915541,11.111299870794504,46.85303235580881,6.573261224842502,80.45706906055028
Вселенная. 600 игрок. Один день из жизни снабжения. (СИ), Марион,4.5,409,4.0,186,5.143623441062089,8.431053203040173,49.422360248447205,62.03045685279188,1.116751269035533,0.0,0.62,0.1,0.1,0.07,0.03,0.02,0.06,0.4070629634284278,36.31083775602922,0.8999324554795477,25.675639607852787,0.9158411372604858,290.37642694029466,7.011959295827186,64.38066365414957,3.6734446253821513,100.96928382457406
Дорога мечей, Алекс Кош,4.7,364,4.3,216,5.181547288356448,10.435052631578948,23.107059916395727,84.78631124490039,3.3271279756010617,37.39058105913574,0.59,0.14,0.11,0.06,0.02,0.02,0.06,0.1920019296676348,60.564055877810034,0.8565985588437081,42.825254607360456,0.9284153408811912,344.8763533497022,8.010951384609161,61.77803137996574,4.3926793888220335,95.77514003709
Прирожденный торгаш. В минусах, Олег Здрав,4.8,944,4.5,901,5.607753083812842,10.00894266175697,22.75863437872172,75.46513407829003,3.186707671755194,0.0,0.59,0.13,0.11,0.08,0.02,0.02,0.05,0.2817247815241849,67.45470292275485,0.8843775401280621,47.69767785960399,0.9371360066653196,532.8577531527601,9.194525393460037,52.32082695786872,5.196828246137253,90.36760186529176
Квазар. Демонический бог. Том 2,й,5.0,3,None,None,5.479727829949952,14.939041916167664,50.971044045677,85.27081607290803,1.1909693454846728,0.1100352112676056,0.57,0.14,0.14,0.05,0.02,0.02,0.06,0.1958857746377449,69.25081613007367,0.861091078657203,48.96772168827784,0.9443010427027604,441.7141708623326,11.121184424524763,49.72873116345704,6.6022182188036656,80.06593425464708
You N.P.C., Станислав Энку,3.0,4,None,None,5.388008535829834,14.15919238982722,26.507792678506707,93.36413782430384,6.38935255297746,0.0,0.53,0.11,0.15,0.09,0.02,0.02,0.07,0.2304095166472961,62.31075962483194,0.8689384930885706,44.0603606716036,0.9388111281304684,350.48164551958376,10.70763987614558,50.89132815903525,6.305123900815927,82.20613413307011
Колдун Его Величества, Александр Долинин,4.4,72,3.8,17,5.147546176231861,11.537672403966717,20.284915084915085,95.8153874755988,2.045053140395997,0.0309856536423635,0.69,0.12,0.09,0.04,0.02,0.01,0.04,0.1932608395878888,61.57898126434024,0.8574163348043187,43.54291523057434,0.9349278664399208,345.7634871377269,8.417368272545804,61.36316022279945,4.690130757556775,93.58662007328049
Чип Блейза. Альфа, Элиан Тарс,4.6,61,3.7,3,5.257435483870967,8.242932628797886,21.37482900136799,76.89857132354743,2.769132746832651,0.0245055995294924,0.61,0.12,0.1,0.07,0.01,0.02,0.06,0.250336,62.584,0.874584708279011,44.25357079377889,0.9376809373464654,480.6616757531386,6.894363552042162,64.71786916469037,3.589012477470355,101.57709832938072
Испытание жизнью. Часть 2. Драконьи нежности., Юля Купцова,5.0,1,None,None,4.978514108206057,7.301424235349055,23.38346984363365,74.87667371388302,0.0755058894593778,0.0,0.67,0.13,0.07,0.07,0.02,0.02,0.03,0.2913641574321742,51.6331486596004,0.8809060118390017,36.510149551216536,0.925338750206214,282.6986868654283,5.841810350653336,70.11619959702632,2.85120991024648,106.73870794453028
Клан «Дятлы» выходит в Большой мир, Павел Михайлович Пуничев,4.8,38,3.5,4,5.040089608758413,11.005557270762582,26.76304619225968,104.97449355704302,4.526287854215198,0.0,0.62,0.1,0.12,0.06,0.03,0.03,0.05,0.215158696098371,70.44139301164219,0.8673513355327557,49.80958667475887,0.9343150111843492,304.76047406528994,7.800086582936082,64.55416730501814,4.257627029132374,96.61076571111288
За гранью реальности_ Охотник и Мелазиум, Александр Пасацкий,3.4,3,None,None,5.319642606539739,9.579511614055985,21.842176410949644,102.40693499622073,0.992063492063492,51.906179138322,0.6,0.13,0.12,0.06,0.03,0.01,0.04,0.2412000433228636,61.31938906545075,0.8716078973836728,43.35935582639647,0.9405618310528112,450.83912055285407,7.915240656385119,60.51175878381352,4.312362680157124,96.45024669142208
Обломов, Иван Александрович Гончаров,4.4,54,4.1,23854,4.82140768180932,11.95434083601286,23.43240697126708,110.5426189338717,7.11985082217325,0.0051369775051755,0.66,0.1,0.1,0.05,0.02,0.02,0.06,0.1692698387172425,65.39185473493608,0.8509012183540622,46.23902391743894,0.9174371752043372,192.5459333910741,7.546081396101837,68.5794233055752,4.100071957556279,97.5375912590689
Васса Железнова (Сборник), Максим Горький,3.8,8,4.2,84,4.87594923304995,9.737625220978195,19.32886688027964,101.2570233594926,7.198584412450736,0.0746860314140938,0.63,0.12,0.09,0.05,0.02,0.01,0.08,0.1906383748266923,69.44890843717644,0.8594959416257516,49.1077941019311,0.930921665311044,255.13630661526872,6.746225537394377,69.25438178048276,3.5136021892025635,101.86131917010408
Планы Богов. Осколки личности (черновик), Серый Даниил Денисович,5.0,1,None,None,5.098403782121343,8.727563748758142,18.65394581861013,87.5277124296903,7.5513345531643,0.0,0.62,0.11,0.1,0.05,0.02,0.02,0.07,0.2133457934483368,60.03552143952946,0.8630406062687626,42.45152432196164,0.9367671741639674,300.0643509376016,6.858321917274985,66.08565781467081,3.572653069049613,101.61532820732256
